Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
peranakan-mini-buffet-set-b-17,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu-7,Testing menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-16,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-4,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
vsvsdmk,vsvsdmk,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,2.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
test-product,Test Product,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,3.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-75235,peranakan-mini-buffet-set-b-75235,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,12.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
new-usb-flash-drive-3-0-128gb-64gb-32gb-16gb-8gb-metal-2-0-pendrive-usb-stick-pen-drive-3-0-high-speed-128gb-64gb-32gb-16gb-8gb,NEW USB Flash Drive 3.0 128GB 64GB 32GB 16GB 8GB Metal 2.0 Pendrive USB Stick Pen Drive 3.0 High Speed 128GB 64GB 32GB 16GB 8GB,"<p style=""text-align: center;"" align=""center"">Dear, All our products are original imported chips, which have been strictly tested and packaged,Quality is absolutely reliable. About capacity: 8GB=approximately 7.4GB-7.6GB 16GB=approximately 14GB-15GB 32GB=approximately 28GB-30GB 64GB=approximately 58GB-60GB 128GB=approximately 115GB-120GB 256GB=approximately 228GB-236GB The factory capacity of hardware manufacturers is as follows:1MB=1000KB,1G=1000MB,while our operating system adopts binary algorithm,so there is a difference between the display capacity of memory card and the nominal capacity,which is a normal phenomenon (1MB=1,000,000bytes). If you have any questions, please leave a message, we will have professional customer service for you.Thank you!<img src=""https://ae01.alicdn.com/kf/Sbfb1bbaaf65a4b5aa1289a59a07674e6A.jpg""><img src=""https://ae01.alicdn.com/kf/Sd59f98056d8543c5a9beb08edd24d523p.jpg""><img src=""https://ae01.alicdn.com/kf/S082b5365d3aa47949db36674bc69bf62T.jpg""><img src=""https://ae01.alicdn.com/kf/S4e0c28d8e17c4dda9b1a730e22ba1396P.jpg""><img src=""https://ae01.alicdn.com/kf/S7fa4d1f5d30d48f3952c157c039e6fa1a.jpg""><img src=""https://ae01.alicdn.com/kf/S17a02aa6bf5745a998afae13070768eab.jpg""><img src=""https://ae01.alicdn.com/kf/S95e4e92c49c648f5919456f2de4e0135x.jpg""></p>",USB Flash Drive Memory Card Store,,"","",false,Color,Black,,Capacity,16GB,,,,,14:193;26:5115,0.0,,deny,manual,4.14,9.72,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S35c7dfbe09494b7997fab35afcda6700D.webp?v=1732369142,1,"",false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S484f5347d84c463ea873f85cec968704m.webp?v=1732369143,kg,,,true,,,true,,,true,,,active
new-usb-flash-drive-3-0-128gb-64gb-32gb-16gb-8gb-metal-2-0-pendrive-usb-stick-pen-drive-3-0-high-speed-128gb-64gb-32gb-16gb-8gb,,,,,,,,,Black,,,32GB,,,,,14:193;26:5116,0.0,,deny,manual,4.54,10.66,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/Scdbbed9b48b34df684a1a970ae999d410.webp?v=1732369142,2,"",,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S484f5347d84c463ea873f85cec968704m.webp?v=1732369143,kg,,,,,,,,,,,,
new-usb-flash-drive-3-0-128gb-64gb-32gb-16gb-8gb-metal-2-0-pendrive-usb-stick-pen-drive-3-0-high-speed-128gb-64gb-32gb-16gb-8gb,,,,,,,,,Black,,,64GB,,,,,14:193;26:5117,0.0,,deny,manual,5.52,12.97,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S5eead534a7384b09ac114b61259138f7L.webp?v=1732369143,3,"",,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S484f5347d84c463ea873f85cec968704m.webp?v=1732369143,kg,,,,,,,,,,,,
new-usb-flash-drive-3-0-128gb-64gb-32gb-16gb-8gb-metal-2-0-pendrive-usb-stick-pen-drive-3-0-high-speed-128gb-64gb-32gb-16gb-8gb,,,,,,,,,Black,,,128GB,,,,,14:193;26:349997,0.0,,deny,manual,6.90,16.22,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/Sdc6e1c2546ca4d58bde831524e9e4d58I.webp?v=1732369143,4,"",,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S484f5347d84c463ea873f85cec968704m.webp?v=1732369143,kg,,,,,,,,,,,,
new-usb-flash-drive-3-0-128gb-64gb-32gb-16gb-8gb-metal-2-0-pendrive-usb-stick-pen-drive-3-0-high-speed-128gb-64gb-32gb-16gb-8gb,,,,,,,,,Silver,,,32GB,,,,,14:29;26:5116,0.0,,deny,manual,4.54,10.66,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S4a9c40ceedae46e1a429608963a76c0ff.webp?v=1732369143,5,"",,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S693431c834b14df6ad462c99ba30a4cbj.webp?v=1732369142,kg,,,,,,,,,,,,
new-usb-flash-drive-3-0-128gb-64gb-32gb-16gb-8gb-metal-2-0-pendrive-usb-stick-pen-drive-3-0-high-speed-128gb-64gb-32gb-16gb-8gb,,,,,,,,,Silver,,,64GB,,,,,14:29;26:5117,0.0,,deny,manual,5.52,12.97,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/Sfa67d82d95fd4edd8f4b3b1c3b4500e3V.webp?v=1732369142,6,"",,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S693431c834b14df6ad462c99ba30a4cbj.webp?v=1732369142,kg,,,,,,,,,,,,
new-usb-flash-drive-3-0-128gb-64gb-32gb-16gb-8gb-metal-2-0-pendrive-usb-stick-pen-drive-3-0-high-speed-128gb-64gb-32gb-16gb-8gb,,,,,,,,,Silver,,,128GB,,,,,14:29;26:349997,0.0,,deny,manual,6.90,16.22,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S484f5347d84c463ea873f85cec968704m.webp?v=1732369143,7,"",,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S693431c834b14df6ad462c99ba30a4cbj.webp?v=1732369142,kg,,,,,,,,,,,,
new-usb-flash-drive-3-0-128gb-64gb-32gb-16gb-8gb-metal-2-0-pendrive-usb-stick-pen-drive-3-0-high-speed-128gb-64gb-32gb-16gb-8gb,,,,,,,,,Black,,,8GB,,,,,14:193;26:3860,0.0,,deny,manual,4.00,9.39,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S693431c834b14df6ad462c99ba30a4cbj.webp?v=1732369142,8,"",,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S484f5347d84c463ea873f85cec968704m.webp?v=1732369143,kg,,,,,,,,,,,,
new-usb-flash-drive-3-0-128gb-64gb-32gb-16gb-8gb-metal-2-0-pendrive-usb-stick-pen-drive-3-0-high-speed-128gb-64gb-32gb-16gb-8gb,,,,,,,,,Silver,,,8GB,,,,,14:29;26:3860,0.0,,deny,manual,4.00,9.39,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S693431c834b14df6ad462c99ba30a4cbj.webp?v=1732369142,kg,,,,,,,,,,,,
new-usb-flash-drive-3-0-128gb-64gb-32gb-16gb-8gb-metal-2-0-pendrive-usb-stick-pen-drive-3-0-high-speed-128gb-64gb-32gb-16gb-8gb,,,,,,,,,Silver,,,16GB,,,,,14:29;26:5115,0.0,,deny,manual,4.14,9.72,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/S693431c834b14df6ad462c99ba30a4cbj.webp?v=1732369142,kg,,,,,,,,,,,,
custom-neon-sign,Custom neon sign,<p></p>,Quickstart (fd557833),Uncategorized,"","custom neon, neon",true,Size,10x20,,,,,,,,"",0.0,shopify,deny,manual,10.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,true,,,active
custom-neon-sign,,,,,,,,,100x200,,,,,,,,"",0.0,shopify,deny,manual,20.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
custom-neon-sign,,,,,,,,,1000x2000,,,,,,,,"",0.0,shopify,deny,manual,30.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,
chicken,Chicken,,Catering-test-store-0,,"","",true,Product Type,guest,,,,,,,,,0.0,,deny,manual,5.00,,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/file_97f752b0-8131-4741-b63d-39308ab50325.png?v=1731747418,1,"",false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
custom-catering-menu,Custom Catering Menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,15.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
juice-1,Juice,,Catering-test-store-0,,"","",true,Topup Type,Guests,,,,,,,,,0.0,,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/file_ba34254a-438e-4756-a95d-ca83d4921260.webp?v=1731746894,1,"",false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu-5,Testing menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
juice,Juice,,Catering-test-store-0,,"","",true,Topup Type,Guests,,,,,,,,,0.0,,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/file_75a8ef34-093d-42f6-8d72-4f46e2802f2d.png?v=1729672234,1,"",false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu-4,Testing Menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,20.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
chicken-karahi,Chicken Karahi,,Catering-test-store-0,,"","",true,Topup Type,Guests,,,,,,,,,0.0,,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/file_6d8156f8-f52d-4b38-84fa-190ec45097cc.jpg?v=1729341306,1,"",false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-15,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-14,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-13,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-12,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
test-menu,Test menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,15.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu-3,Testing Menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,15.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-11,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-10,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-9,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
dim-sum-catering-lite-2,Dim Sum Catering Lite,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-8,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu-2,Testing Menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,10.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu-1,Testing menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,10.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
testing-menu,Testing menu,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,10.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-7,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-6,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-5,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
peranakan-mini-buffet-set-b-3,Peranakan Mini Buffet Set B,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
live-chef,Live Chef - 肠粉 HK Style Cheong Fun Char Siew / Prawn,,Catering-test-store-0,Uncategorized,"","",true,Topup Type,Guests,,,,,,,,,0.0,,deny,manual,5.00,,true,true,,https://cdn.shopify.com/s/files/1/0630/4143/7774/files/upload_4088763648_3d01e7a8-2a90-4f01-8bf0-c2eca3660fda.png?v=1729031962,1,"",false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
dim-sum-catering-lite-1,Dim Sum Catering Lite,,Catering-test-store-0,,"","",true,Title,Default title,,,,,,,,,0.0,,deny,manual,25.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
什菜-mixed-vegetables,什菜 Mixed Vegetables,"",Catering-test-store-0,"Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Meals & Entrées","","",true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
鱼籽酱烧卖-siew-mai,鱼籽酱烧卖 Siew Mai,"",Catering-test-store-0,"Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Meals & Entrées","","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
蚝油鲜竹卷-beancurd-roll-in-oyster-sauce,蚝油鲜竹卷 Beancurd Roll in Oyster Sauce,"",Catering-test-store-0,"Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Meals & Entrées","","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
凤爪-chicken-claw-1-5,凤爪 Chicken Claw,"",Catering-test-store-0,"Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Meals & Entrées","","",true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,1.50,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
豆沙包-red-bean-paste-bao,豆沙包 Red Bean Paste Bao,"",Catering-test-store-0,"Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Meals & Entrées","","",true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
